iter	Passed	Remaining
578	4178	3038
579	4185	3030
580	4193	3023
581	4203	3019
582	4211	3012
583	4217	3004
584	4225	2997
585	4232	2989
586	4238	2982
587	4245	2974
588	4252	2967
589	4258	2959
590	4265	2951
591	4272	2944
592	4278	2936
593	4285	2929
594	4292	2921
595	4299	2914
596	4305	2906
597	4312	2898
598	4319	2891
599	4325	2883
600	4332	2876
601	4339	2868
602	4345	2860
603	4352	2853
604	4359	2846
605	4366	2838
606	4372	2831
607	4379	2823
608	4386	2816
609	4394	2809
610	4401	2801
611	4410	2796
612	4418	2789
613	4424	2781
614	4431	2774
615	4438	2766
616	4444	2758
617	4451	2751
618	4457	2743
619	4464	2736
620	4471	2728
621	4478	2721
622	4484	2713
623	4491	2706
624	4498	2699
625	4505	2691
626	4512	2684
627	4518	2676
628	4525	2669
629	4532	2661
630	4538	2654
631	4545	2646
632	4552	2639
633	4559	2631
634	4566	2624
635	4572	2617
636	4579	2609
637	4588	2603
638	4594	2595
639	4604	2589
640	4611	2582
641	4618	2575
642	4624	2567
643	4631	2560
644	4638	2552
645	4645	2545
646	4651	2537
647	4658	2530
648	4665	2523
649	4671	2515
650	4678	2508
651	4685	2500
652	4692	2493
653	4698	2485
654	4705	2478
655	4711	2470
656	4718	2463
657	4724	2455
658	4731	2448
659	4737	2440
660	4744	2433
661	4751	2425
662	4758	2418
663	4764	2411
664	4771	2403
665	4778	2396
666	4786	2389
667	4795	2383
668	4803	2376
669	4809	2369
670	4816	2361
671	4823	2354
672	4829	2346
673	4836	2339
674	4843	2331
675	4849	2324
676	4856	2316
677	4862	2309
678	4869	2302
679	4876	2294
680	4882	2287
681	4889	2279
682	4897	2272
683	4904	2265
684	4917	2261
685	4925	2254
686	4933	2247
687	4941	2240
688	4948	2233
689	4958	2227
690	4964	2220
691	4971	2212
692	4978	2205
693	4987	2199
694	4997	2193
695	5004	2185
696	5011	2178
697	5018	2171
698	5025	2163
699	5031	2156
700	5038	2149
701	5045	2141
702	5052	2134
703	5059	2127
704	5065	2119
705	5072	2112
706	5079	2105
707	5086	2097
708	5092	2090
709	5100	2083
710	5107	2076
711	5114	2068
712	5121	2061
713	5128	2054
714	5134	2046
715	5141	2039
716	5149	2032
717	5158	2026
718	5168	2019
719	5174	2012
720	5181	2004
721	5189	1998
722	5198	1991
723	5206	1984
724	5213	1977
725	5219	1970
726	5226	1962
727	5233	1955
728	5240	1948
729	5246	1940
730	5254	1933
731	5262	1926
732	5268	1919
733	5275	1911
734	5281	1904
735	5288	1896
736	5295	1889
737	5302	1882
738	5308	1875
739	5315	1867
740	5323	1860
741	5329	1853
742	5336	1845
743	5343	1838
744	5350	1831
745	5356	1823
746	5363	1816
747	5370	1809
748	5378	1802
749	5386	1795
750	5394	1788
751	5401	1781
752	5408	1774
753	5415	1766
754	5422	1759
755	5428	1752
756	5435	1744
757	5442	1737
758	5448	1730
759	5455	1722
760	5462	1715
761	5468	1708
762	5476	1701
763	5483	1693
764	5490	1686
765	5496	1679
766	5503	1671
767	5510	1664
768	5517	1657
769	5523	1649
770	5530	1642
771	5537	1635
772	5544	1628
773	5550	1620
774	5557	1613
775	5564	1606
776	5570	1598
777	5579	1592
778	5588	1585
779	5595	1578
780	5601	1570
781	5609	1563
782	5616	1556
783	5622	1549
784	5629	1541
785	5636	1534
786	5642	1527
